Type,Severity,start_time,end_time
Rain,Moderate,2022-07-29 16:05:36,2022-07-29 16:20:36
Rain,Moderate,2022-08-06 02:13:36,2022-08-06 02:31:36
Rain,Light,2022-08-06 02:31:36,2022-08-06 05:00:36
Rain,Light,2022-08-12 15:20:36,2022-08-12 16:33:36
Rain,Moderate,2022-08-12 16:33:36,2022-08-12 16:41:36
Rain,Heavy,2022-08-12 16:41:36,2022-08-12 17:38:36
Rain,Light,2022-08-12 17:38:36,2022-08-12 18:20:36
Rain,Light,2022-08-12 18:55:36,2022-08-12 20:07:36
Fog,Severe,2022-08-12 20:07:36,2022-08-12 20:33:36
Rain,Light,2022-08-12 22:20:36,2022-08-13 02:20:36
Fog,Severe,2022-08-13 03:32:36,2022-08-13 06:15:36
Rain,Light,2022-08-13 18:36:36,2022-08-13 18:55:36
Rain,Moderate,2022-08-13 18:55:36,2022-08-13 19:20:36
Precipitation,UNK,2022-08-13 19:20:36,2022-08-13 20:20:36
Rain,Moderate,2022-08-14 16:32:36,2022-08-14 16:36:36
Rain,Heavy,2022-08-14 16:36:36,2022-08-14 17:20:36
Precipitation,UNK,2022-08-14 17:20:36,2022-08-14 18:20:36
Rain,Light,2022-08-17 11:17:36,2022-08-17 12:20:36
Rain,Light,2022-08-17 14:20:36,2022-08-17 15:20:36
Rain,Light,2022-08-18 07:20:36,2022-08-18 08:20:36
Precipitation,UNK,2022-08-18 08:20:36,2022-08-18 09:20:36
Rain,Heavy,2022-08-18 09:20:36,2022-08-18 09:32:36
Rain,Light,2022-08-19 17:20:36,2022-08-19 18:20:36
Rain,Light,2022-08-20 11:20:36,2022-08-20 12:20:36
Rain,Moderate,2022-08-20 12:20:36,2022-08-20 12:41:36
Rain,Light,2022-08-20 12:41:36,2022-08-20 13:20:36
Rain,Light,2022-08-20 14:20:36,2022-08-20 16:20:36
Rain,Light,2022-08-21 16:20:36,2022-08-21 17:20:36
Rain,Light,2022-08-26 01:20:36,2022-08-26 02:20:36
Rain,Light,2022-08-26 05:20:36,2022-08-26 06:20:36
Rain,Moderate,2022-08-26 06:20:36,2022-08-26 06:24:36
